timestamp_open,ticket,symbol,position,volume,entry_price,sl,tp,timestamp_close,exit_price,commission,swap,pnl_actual,pnl_net,return_pct_actual
2026-03-06 16:30:45,1518056120,USTEC,buy,0.6,24660.2,24571.59,24910.02,2026-03-06 20:57:05,24776.2,0.0,0.0,69.6,69.6,0.47039358967080563
2026-03-09 16:40:00,1521408935,USTEC,buy,0.5,24376.3,24280.68,24657.56,2026-03-09 18:30:05,24614.0,0.0,0.0,118.85,118.85,0.9751274803805365
2026-03-10 16:30:35,1524004201,USTEC,buy,0.5,25009.6,24906.15,25307.95,2026-03-10 17:00:53,24905.6,0.0,0.0,-52.0,-52.0,-0.41584031731814985
2026-03-10 17:10:11,1524139539,USTEC,sell,0.4,24879.8,24991.66,24543.41,2026-03-10 17:26:16,24992.7,0.0,0.0,-45.16,-45.16,-0.4537817828117648
2026-03-11 16:50:03,1526471464,USTEC,buy,0.7,25022.8,24953.48,25232.36,2026-03-11 17:28:17,24954.7,0.0,0.0,-47.67,-47.67,-0.27215179756061886
2026-03-11 17:30:06,1526616080,USTEC,sell,0.7,25005.2,25076.93,24795.61,2026-03-11 18:30:05,24915.6,0.0,0.0,62.72,62.72,0.35832546830260176
2026-03-12 16:30:06,1528928627,USTEC,sell,0.7,24758.5,24831.58,24525.66,2026-03-12 18:30:03,24591.9,0.0,0.0,116.62,116.62,0.6729002160873985
2026-03-13 16:30:20,1531492731,USTEC,sell,0.5,24642.0,24746.9,24376.1,2026-03-13 16:44:20,24747.9,0.0,0.0,-52.95,-52.95,-0.429754078402733
2026-03-13 16:50:06,1531559119,USTEC,buy,0.6,24722.4,24634.64,24997.67,2026-03-13 17:17:24,24634.7,0.0,0.0,-52.62,-52.62,-0.354739022101417
2026-03-13 17:20:07,1531648631,USTEC,buy,0.6,24656.4,24575.26,24893.83,2026-03-13 17:45:00,24575.0,0.0,0.0,-48.84,-48.84,-0.3301374085430211
2026-03-13 17:50:19,1531736605,USTEC,sell,0.6,24568.6,24651.59,24321.22,2026-03-13 18:30:03,24454.1,0.0,0.0,68.7,68.7,0.4660420211163844
2026-03-16 16:40:10,1534959490,USTEC,sell,0.5,24660.1,24754.53,24376.41,2026-03-16 18:30:06,24705.6,0.0,0.0,-22.75,-22.75,-0.18450857863512315
2026-03-17 16:30:08,1537211065,USTEC,buy,0.8,24740.2,24674.0,24940.0,2026-03-17 18:30:26,24790.1,0.0,0.0,39.92,39.92,0.20169602509275517
2026-03-18 16:30:27,1539468125,USTEC,sell,0.9,24719.6,24771.8,24554.6,2026-03-18 18:30:05,24661.4,0.0,0.0,52.38,52.38,0.23544070292398378
2026-03-19 16:30:06,1542363059,USTEC,sell,0.8,24141.7,24202.5,23961.3,2026-03-19 16:41:49,24209.1,0.0,0.0,-53.92,-53.92,-0.2791849786883186
2026-03-19 16:50:04,1542449802,USTEC,buy,0.5,24239.5,24135.99,24521.64,2026-03-19 18:30:05,24233.6,0.0,0.0,-2.95,-2.95,-0.024340436065106354
2026-03-20 16:50:02,1545277384,USTEC,sell,0.6,24190.4,24270.11,23956.88,2026-03-20 18:30:03,24047.6,0.0,0.0,85.68,85.68,0.5903168198955078
2026-03-23 16:40:07,1549974952,USTEC,sell,0.6,24315.1,24408.33,24061.41,2026-03-23 17:13:58,24409.8,0.0,0.0,-56.82,-56.82,-0.3894699178699686
2026-03-24 16:50:08,1553556774,USTEC,sell,0.5,23947.1,24037.54,23668.17,2026-03-24 17:00:39,24042.6,0.0,0.0,-47.75,-47.75,-0.3987956788087076
2026-03-24 17:10:07,1553635177,USTEC,buy,0.5,24061.5,23974.14,24341.19,2026-03-24 17:13:24,23973.2,0.0,0.0,-44.15,-44.15,-0.3669762899237341
2026-03-24 17:20:01,1553671277,USTEC,sell,0.5,24013.7,24106.63,23733.31,2026-03-24 17:52:07,24111.0,0.0,0.0,-48.65,-48.65,-0.40518537334937665
2026-03-24 18:00:03,1553824477,USTEC,sell,0.5,24074.6,24169.17,23774.89,2026-03-24 18:25:53,24170.2,0.0,0.0,-47.8,-47.8,-0.397099017221479
2026-03-25 17:33:41,1556498721,USTEC,sell,0.6,24279.3,24356.86,24014.23,2026-03-26 01:03:36,24140.9,0.0,-0.18,83.04,82.86,0.5700329086917573
2026-03-25 17:39:31,1556502938,USTEC,sell,0.6,24257.9,24348.96,24028.31,2026-03-25 18:34:33,24224.7,0.0,0.0,19.92,19.92,0.1368626303183735
2026-03-26 16:30:20,1558313304,USTEC,sell,0.6,23900.7,23994.41,23651.56,2026-03-26 16:51:53,23993.8,0.0,0.0,-55.86,-55.86,-0.38952834017413107
2026-03-26 17:00:09,1558421810,USTEC,buy,0.5,24005.6,23901.01,24312.18,2026-03-26 17:46:24,23902.2,0.0,0.0,-51.7,-51.7,-0.4307328290065561
2026-03-27 16:30:07,1560802555,USTEC,sell,0.6,23454.1,23538.32,23195.04,2026-03-27 18:30:04,23359.4,0.0,0.0,56.82,56.82,0.4037673583722978
2026-03-30 16:40:09,1564199956,USTEC,buy,0.4,23234.4,23122.07,23572.99,2026-03-30 16:58:24,23122.2,0.0,0.0,-44.88,-44.88,-0.4829046586096509
2026-03-30 17:00:10,1564284465,USTEC,sell,0.6,23140.0,23216.84,22894.67,2026-03-30 18:00:11,23216.6,0.0,0.0,-45.96,-45.96,-0.3310285220397517
2026-03-30 18:10:02,1564507993,USTEC,sell,0.6,23168.9,23247.34,22935.57,2026-03-30 18:30:08,23148.7,0.0,0.0,12.12,12.12,0.08718583963848403
2026-03-31 16:30:23,1567021398,USTEC,sell,0.6,23214.5,23296.59,22980.22,2026-03-31 16:47:23,23298.2,0.0,0.0,-50.22,-50.22,-0.36055051799522164
2026-03-31 16:50:12,1567093506,USTEC,buy,0.6,23338.7,23260.42,23576.74,2026-03-31 17:50:21,23254.8,0.0,0.0,-50.34,-50.34,-0.359488746159818
2026-03-31 18:00:04,1567341718,USTEC,buy,0.6,23234.5,23151.31,23486.06,2026-03-31 18:30:04,23308.8,0.0,0.0,44.58,44.58,0.3197830811939111
